data_publicacao;uf;municipio;orgao;modalidade;itens_servidor;valor_estimado;no_grupo_1bit;numero_controle_pncp;link_pncp;link_portal_origem
2025-04-25;MA;Bacabal;Municipio De Bacabal;Pregão - Eletrônico;1;49382,20;nao;06014351000138-1-000029/2025;https://pncp.gov.br/app/editais/06014351000138/2025/29;http://www.portaldecomprasbacabal.com.br
2025-04-23;PR;Santo Antônio Do Paraíso;Municipio De Santo Antonio Do Paraiso;Pregão - Eletrônico;1;10473,76;nao;75832170000131-1-000019/2025;https://pncp.gov.br/app/editais/75832170000131/2025/19;https://bllcompras.com/Process/ProcessView?param1=[gkz]_gOaQmYKM5bKQo6QZvwZrGAx34o7QBtIdJIBHR/CSnozysuTKC04ok6W8Pizt7Q4tc04VlGDiQjgtfbnHjsZcnUrT2npsagy2KJxrTSwAwk=
2025-04-22;SP;Jarinu;Municipio De Jarinu;Pregão - Eletrônico;2;;nao;45780079000159-1-000090/2025;https://pncp.gov.br/app/editais/45780079000159/2025/90;
2025-04-15;PB;João Pessoa;Defensoria Publica Do Estado Da Paraiba;Pregão - Eletrônico;1;433288,00;nao;10733319000180-1-000022/2025;https://pncp.gov.br/app/editais/10733319000180/2025/22;https://portaldecompraspublicas.com.br/processos/PB/Defensoria-Publica-do-Estado-da-Paraiba-4473/RPE-004-2025-2025-378372
2025-04-07;SP;Mogi Mirim;Consorcio Intermunicipal De Saude 8 De Abril;Dispensa;1;15470,35;nao;08996378000107-1-000031/2025;https://pncp.gov.br/app/editais/08996378000107/2025/31;
2025-04-07;AM;Manaus;Instituto Municipal De Mobilidade Urbana - Immu;Dispensa;1;12952,55;nao;33681104000168-1-000001/2025;https://pncp.gov.br/app/editais/33681104000168/2025/1;https://compras.manaus.am.gov.br/publico/item_em_andamento.asp?id=140981
2025-03-31;CE;Tabuleiro Do Norte;Municipio De Tabuleiro Do Norte - Camara Municipal;Dispensa;1;9796,33;nao;69727899000145-1-000024/2025;https://pncp.gov.br/app/editais/69727899000145/2025/24;http://compras.m2atecnologia.com.br/processos/publicacao/d6cca80fa6324f20acb1472d09ea5767/aquisicao-de-material-permanente-para-o-suprir-as
2025-03-26;SE;Aracaju;Estado De Sergipe;Pregão - Eletrônico;2;;sim;13128798001094-1-000125/2025;https://pncp.gov.br/app/editais/13128798001094/2025/125;https://sistema.comprasnet.se.gov.br/publico/WKF.aspx?code=SECLOG-PE0099/2025&validation=46328
2025-03-26;ES;Sooretama;Municipio De Sooretama;Dispensa;3;530,00;nao;01612155000141-1-000023/2025;https://pncp.gov.br/app/editais/01612155000141/2025/23;
2025-03-25;PR;Ivaiporã;Municipio De Ivaipora;Pregão - Eletrônico;1;1400,00;nao;75741330000137-1-000076/2025;https://pncp.gov.br/app/editais/75741330000137/2025/76;
2025-03-25;RS;Cidreira;Municipio De Cidreira;Pregão - Eletrônico;1;74896,00;nao;90256686000179-1-000043/2025;https://pncp.gov.br/app/editais/90256686000179/2025/43;
2025-03-24;GO;Trombas;Fundo Municipal De Assistencia Social De Trombas;Dispensa;1;4238,00;nao;18212310000135-1-000004/2025;https://pncp.gov.br/app/editais/18212310000135/2025/4;
2025-03-24;SP;Penápolis;Municipio De Penapolis;Pregão - Eletrônico;1;93105,72;nao;49576416000141-1-000049/2025;https://pncp.gov.br/app/editais/49576416000141/2025/49;https://bllcompras.com/Process/ProcessView?param1=[gkz]0W04Mye/F_Z7KkL3dxs5ArK9BSJ4/OMYGbzDDkrbIdPs8iy8H3o6h5U3lgQKq51H4wQBQB15p2MhaZvDH_UFLVuZ0ypAe7jzHPZj1o1ZfB0=
2025-03-24;ES;Aracruz;Ipasma - Instituto De Previdencia E Assistencia Dos Servidores Do Muni;Pregão - Eletrônico;1;31388,92;sim;36330231000100-1-000003/2025;https://pncp.gov.br/app/editais/36330231000100/2025/3;
2025-03-24;RS;Balneário Pinhal;Municipio De Balneario Pinhal;Pregão - Eletrônico;1;15142,00;nao;01611339000197-1-000079/2025;https://pncp.gov.br/app/editais/01611339000197/2025/79;https://pregaobanrisul.com.br/editais/0009_2025/332657
2025-03-24;MG;Passos;Servico Autonomo De Agua E Esgoto;Pregão - Eletrônico;1;97406,33;sim;23278690000140-1-000036/2025;https://pncp.gov.br/app/editais/23278690000140/2025/36;
2025-03-23;PI;Monsenhor Gil;Municipio De Monsenhor Gil;Pregão - Eletrônico;1;26180,00;nao;06554877000100-1-000014/2025;https://pncp.gov.br/app/editais/06554877000100/2025/14;
2025-03-21;RJ;Rio De Janeiro;Comando Da Marinha;Dispensa;1;103408,00;nao;00394502000144-1-002080/2025;https://pncp.gov.br/app/editais/00394502000144/2025/2080;
2025-03-21;BA;Capim Grosso;Municipio De Capim Grosso;Pregão - Eletrônico;1;19937,00;nao;13230982000150-1-000047/2025;https://pncp.gov.br/app/editais/13230982000150/2025/47;https://portal.licitanet.com.br/acesso-visitante/WkpXbmxKQ2w=
2025-03-21;MG;São Lourenço;Servico Autonomo De Agua E Esgoto;Pregão - Eletrônico;1;3091,47;nao;21417423000181-1-000039/2025;https://pncp.gov.br/app/editais/21417423000181/2025/39;
2025-03-21;SP;Martinópolis;Municipio De Martinopolis;Pregão - Eletrônico;1;4100,00;nao;44855443000130-1-001266/2024;https://pncp.gov.br/app/editais/44855443000130/2024/1266;https://comprasbr.com.br//pregao-eletronico-detalhe/?idlicitacao=33281
2025-03-20;RS;Portão;Municipio De Portao;Pregão - Eletrônico;1;39825,88;nao;87344016000108-1-000196/2025;https://pncp.gov.br/app/editais/87344016000108/2025/196;
2025-03-20;SP;Indaiatuba;Fiec Fundacao Indaiatubana De Educacao E Cultura;Pregão - Eletrônico;1;270244,35;nao;54675103000180-1-000032/2025;https://pncp.gov.br/app/editais/54675103000180/2025/32;
2025-03-18;RS;Igrejinha;Municipio De Igrejinha;Pregão - Eletrônico;1;14919,96;nao;88379763000136-1-000045/2025;https://pncp.gov.br/app/editais/88379763000136/2025/45;https://portaldecompraspublicas.com.br/processos/RS/Prefeitura-Municipal-de-Igrejinha-15/PE-12-2025-2025-373329
2025-03-17;GO;Mutunópolis;Fundo Municipal De Saude;Dispensa;1;5008,00;nao;11470270000182-1-000056/2025;https://pncp.gov.br/app/editais/11470270000182/2025/56;
